state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Delaware,2016,747851,593084,952065,493471,458594,391639,356212,305466,287618,16,303,319,0,12,12
Delaware,2015,741578,593841,945934,490694,455240,389245,352333,307006,286835,6,311,317,0,8,8
Delaware,2014,731376,590993,935614,481081,454533,381457,349919,302595,288398,18,312,330,0,3,3
Delaware,2013,722020,588191,925749,476664,449085,378164,343856,303535,284656,24,329,353,0,7,7
Delaware,2012,712118,581471,917092,471181,445911,371043,341075,298441,283030,17,287,304,0,12,12
Delaware,2011,702607,577593,907135,467671,439464,366298,336309,296956,280637,15,296,311,0,11,11
Delaware,2010,694074,573567,899769,464042,435727,361964,332110,293402,280165,11,280,291,0,17,17
Delaware,2009,678296,559747,885122,455854,429268,355415,322881,288568,271179,20,296,316,0,28,28
Delaware,2008,665733,553726,873092,450434,422658,350048,315685,286521,267205,18,342,360,0,25,25
Delaware,2007,663002,553714,864764,445873,418891,346041,316961,283373,270341,12,295,307,0,28,28
Delaware,2006,647391,535793,853476,439937,413539,337790,309601,274382,261411,8,255,263,0,23,23
Delaware,2005,625838,523626,825598,421599,403999,326069,299769,267476,256150,21,255,276,0,26,26
Delaware,2004,612417,514329,805421,413177,392244,320190,292227,264417,249912,27,214,241,0,27,27
Delaware,2003,594441,498017,792494,408205,384289,311297,283144,257136,240881,22,184,206,0,28,28
Delaware,2002,593063,499100,782221,403618,378603,311271,281792,257501,241599,8,92,100,1,24,25
Delaware,2001,574499,481719,771580,398780,372800,302532,271967,249202,232517,4,91,95,1,25,26
Delaware,2000,564517,478344,756530,384350,372180,292964,271553,244069,234275,7,95,102,1,18,19
