state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Indiana,2016,5057836,4137541,6633053,3370413,3262640,2600621,2457215,2081024,2056517,10,563,573,2,23,25
Indiana,2015,5041017,4144444,6619680,3363981,3255699,2591946,2449071,2081569,2062875,10,576,586,1,33,34
Indiana,2014,5014663,4147984,6596855,3351790,3245065,2579126,2435537,2083538,2064446,10,623,633,2,40,42
Indiana,2013,4985428,4144789,6570902,3343036,3227866,2565305,2420123,2087230,2057559,8,638,646,2,30,32
Indiana,2012,4947700,4134790,6537334,3316338,3220996,2543650,2404050,2077863,2056927,9,556,565,1,26,27
Indiana,2011,4921885,4121239,6516922,3311101,3205821,2530713,2391172,2067393,2053846,10,567,577,2,33,35
Indiana,2010,4886036,4098945,6490621,3293027,3197594,2513274,2372762,2058811,2040134,11,536,547,1,48,49
Indiana,2009,4836993,4067156,6423113,3266309,3156804,2488631,2348362,2035075,2032081,8,496,504,0,54,54
Indiana,2008,4794072,4034513,6376792,3240709,3136083,2464646,2329426,2016536,2017977,14,454,468,1,62,63
Indiana,2007,4751401,4018322,6345289,3219474,3125815,2439279,2312122,2007160,2011162,11,439,450,1,51,52
Indiana,2006,4728787,4004157,6313520,3209437,3104083,2432776,2296011,2005047,1999110,7,381,388,2,27,29
Indiana,2005,4483771,3805819,6081212,3088367,2992845,2310691,2173080,1916143,1889676,5,305,310,1,17,18
Indiana,2004,4458244,3786739,6058172,3081262,2976910,2305886,2152358,1912890,1873849,3,258,261,3,18,21
Indiana,2003,4419110,3752996,6021480,3079814,2941666,2289946,2129164,1897880,1855116,2,277,279,0,24,24
Indiana,2002,4401277,3731166,5985228,3043809,2941419,2273009,2128268,1878923,1852243,4,246,250,1,41,42
Indiana,2001,4452695,3800964,5934871,3028199,2906672,2306480,2146215,1922907,1878057,1,198,199,1,65,66
Indiana,2000,4294738,3641917,5839634,2989490,2850144,2234554,2060184,1850873,1791044,0,147,147,6,78,84
