state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Maryland,2016,4670079,3856774,6016447,3106577,2909870,2445415,2224664,1980791,1875983,12,591,603,1,8,9
Maryland,2015,4660389,3881325,6006401,3102384,2904017,2439831,2220558,1992583,1888742,17,603,620,0,4,4
Maryland,2014,4629135,3876577,5976407,3075744,2900663,2421400,2207735,1990639,1885938,23,600,623,4,18,22
Maryland,2013,4584537,3855107,5928814,3048733,2880081,2394678,2189859,1978053,1877054,21,613,634,4,18,22
Maryland,2012,4542240,3844639,5884563,3037249,2847314,2378279,2163961,1978114,1866525,17,634,651,1,23,24
Maryland,2011,4482257,3802189,5828289,3010367,2817922,2347748,2134509,1953271,1848918,25,769,794,3,36,39
Maryland,2010,4435314,3774006,5785982,2983757,2802225,2325662,2109652,1942540,1831466,20,633,653,3,54,57
Maryland,2009,4349876,3702336,5699478,2934017,2765461,2275402,2074474,1896581,1805755,22,408,430,1,57,58
Maryland,2008,4298747,3667568,5633597,2905557,2728040,2254179,2044568,1886477,1781091,23,663,686,1,60,61
Maryland,2007,4254353,3641201,5618344,2902765,2715579,2230992,2023361,1869289,1771912,21,549,570,3,35,38
Maryland,2006,4253201,3651864,5615727,2900643,2715084,2234705,2018496,1882176,1769688,25,463,488,2,66,68
Maryland,2005,4064639,3498789,5453441,2820544,2632897,2142612,1922027,1815111,1683678,18,539,557,4,47,51
Maryland,2004,4036800,3474970,5424648,2805891,2618757,2138682,1898118,1809034,1665936,20,524,544,0,63,63
Maryland,2003,4006514,3451110,5380487,2797390,2583097,2118017,1888497,1793580,1657530,26,482,508,1,63,64
Maryland,2002,3950234,3402432,5329992,2759027,2570965,2091828,1858406,1773481,1628951,21,449,470,0,80,80
Maryland,2001,3845370,3306163,5247157,2720491,2526666,2041140,1804230,1723282,1582881,23,445,468,2,55,57
Maryland,2000,3792153,3259443,5120923,2684195,2436728,2051425,1740728,1725905,1533538,21,434,455,3,90,93
