state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Nebraska,2016,1435296,1169912,1907116,956973,950143,724739,710557,578225,591687,2,217,219,0,4,4
Nebraska,2015,1426194,1165803,1896190,952942,943248,724298,701896,579144,586659,1,234,235,0,10,10
Nebraska,2014,1412937,1161182,1881503,942332,939171,717025,695912,575802,585380,1,219,220,0,22,22
Nebraska,2013,1404304,1158219,1868516,942838,925678,715133,689171,575868,582351,0,222,222,0,15,15
Nebraska,2012,1390194,1152335,1855525,937600,917925,709002,681192,574783,577552,1,238,239,0,9,9
Nebraska,2011,1383448,1149737,1842641,928462,914179,706151,677297,572429,577308,6,256,262,0,19,19
Nebraska,2010,1372662,1139817,1830429,921958,908471,697890,674772,562150,577667,5,258,263,0,23,23
Nebraska,2009,1349219,1122311,1796622,902165,894457,685233,663986,553903,568408,4,200,204,2,19,21
Nebraska,2008,1328234,1106692,1783432,900386,883046,680017,648217,550803,555889,3,184,187,0,15,15
Nebraska,2007,1314994,1096632,1774571,895567,879004,672429,642565,546689,549943,1,174,175,1,12,13
Nebraska,2006,1321027,1100473,1768331,891526,876805,675529,645498,546472,554001,0,185,185,0,8,8
Nebraska,2005,1272694,1067059,1706343,867196,839147,656256,616438,537866,529193,2,158,160,1,15,16
Nebraska,2004,1270329,1070575,1708711,861868,846843,652429,617900,536976,533599,1,151,152,0,15,15
Nebraska,2003,1249961,1049267,1686921,847805,839116,640250,609711,526345,522922,2,154,156,0,13,13
Nebraska,2002,1242275,1039634,1678166,853502,824664,637185,605090,519804,519830,1,172,173,2,15,17
Nebraska,2001,1226065,1024548,1664625,841703,822922,631273,594792,512822,511726,2,158,160,0,24,24
Nebraska,2000,1214222,1007886,1670419,842160,828259,625399,588823,505859,502027,3,170,173,0,44,44
