state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
New York,2016,15572259,12754895,19745289,10153097,9592192,8119687,7452572,6503970,6250925,124,4108,4232,2,66,68
New York,2015,15592507,12847208,19795791,10178540,9617251,8132702,7459805,6548709,6298499,106,4026,4132,2,87,89
New York,2014,15527616,12839942,19746227,10164843,9581384,8106141,7421475,6548422,6291520,120,4022,4142,3,94,97
New York,2013,15421398,12813124,19651127,10109477,9541650,8050428,7370970,6533951,6279173,138,4010,4148,4,127,131
New York,2012,15314573,12786511,19570261,10081525,9488736,8005399,7309174,6528584,6257927,125,4196,4321,4,132,136
New York,2011,15188834,12704132,19465197,10038274,9426923,7950682,7238152,6487116,6217016,153,4476,4629,3,179,182
New York,2010,15081689,12628407,19392283,10008101,9384182,7903260,7178429,6458018,6170389,194,5794,5988,4,217,221
New York,2009,15119153,12667884,19541453,10041220,9500233,7887671,7231482,6440535,6227349,189,5922,6111,6,184,190
New York,2008,15093461,12675418,19490297,10028336,9461961,7874358,7219103,6441594,6233824,186,6148,6334,4,202,206
New York,2007,14865399,12511238,19297729,9936561,9361168,7767093,7098306,6372378,6138860,220,6496,6716,5,243,248
New York,2006,14791392,12429913,19306183,9955117,9351066,7754373,7037019,6350701,6079212,213,6699,6912,8,211,219
New York,2005,14140770,11922397,18679211,9674822,9004389,7449008,6691762,6134108,5788289,221,7223,7444,7,216,223
New York,2004,14111809,11907590,18661943,9683075,8978868,7450309,6661500,6151958,5755632,252,7775,8027,4,221,225
New York,2003,14084958,11899252,18601689,9660262,8941427,7447750,6637208,6152109,5747143,241,8129,8370,14,217,231
New York,2002,13982226,11796686,18529790,9639637,8890153,7409827,6572399,6110687,5685999,242,8064,8306,8,202,210
New York,2001,13879472,11724070,18429783,9576509,8853274,7360745,6518727,6083431,5640639,270,8385,8655,8,246,254
New York,2000,13684669,11545827,18434400,9584298,8850102,7281824,6402845,6007989,5537838,290,8686,8976,12,252,264
