state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Ohio,2016,9007798,7256258,11614373,5916782,5697591,4646129,4361669,3652007,3604251,15,464,479,0,30,30
Ohio,2015,8990472,7285422,11613423,5927762,5685661,4650254,4340218,3682828,3602594,16,461,477,1,28,29
Ohio,2014,8960023,7291280,11594163,5914477,5679686,4633724,4326299,3677577,3613703,15,480,495,1,23,24
Ohio,2013,8928373,7314167,11570808,5915372,5655436,4621997,4306376,3696276,3617891,20,507,527,3,17,20
Ohio,2012,8892056,7320406,11544225,5909185,5635040,4610639,4281417,3705936,3614470,18,545,563,0,30,30
Ohio,2011,8858876,7309982,11544951,5902189,5642762,4592349,4266527,3694669,3615313,28,548,576,0,59,59
Ohio,2010,8817345,7291841,11536182,5903619,5632563,4572775,4244570,3689020,3602821,27,569,596,2,76,78
Ohio,2009,8829355,7328849,11542645,5915287,5627358,4582432,4246923,3698320,3630529,36,548,584,2,84,86
Ohio,2008,8750083,7288692,11485910,5885902,5600008,4539121,4210962,3675992,3612700,41,644,685,2,73,75
Ohio,2007,8726992,7282406,11466917,5877307,5589610,4536213,4190779,3682812,3599594,39,660,699,0,93,93
Ohio,2006,8695512,7265029,11478006,5884983,5593023,4515315,4180197,3666784,3598245,26,577,603,1,63,64
Ohio,2005,8405709,7061024,11146050,5721926,5424124,4384055,4021654,3594707,3466317,22,539,561,2,49,51
Ohio,2004,8397018,7060876,11172251,5735109,5437142,4375872,4021146,3598076,3462800,30,517,547,2,54,56
Ohio,2003,8313492,6980600,11131980,5731640,5400340,4360079,3953413,3577580,3403020,22,435,457,1,67,68
Ohio,2002,8255118,6904082,11106524,5730149,5376375,4331842,3923276,3541697,3362385,27,344,371,1,82,83
Ohio,2001,8331665,6994432,11066289,5711097,5355192,4380290,3951375,3590428,3404004,22,352,374,1,80,81
Ohio,2000,8181891,6834334,11052389,5721491,5330898,4309578,3872313,3516925,3317409,24,236,260,2,104,106
