state,year,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
State Prison Total,1978,75,897,972,388,3550,3938,4695,79622,84317,382,5670,6052,197,2597,2794,51,526,577,183,1827,2010,313,6678,6991,7581,128452,136033,238,3520,3758,50,733,783,852,19544,20396
State Prison Total,1979,0,0,0,429,3811,4240,4254,73351,77605,0,0,0,192,2908,3100,78,683,761,157,1647,1804,1068,20680,21748,8477,138145,146622,283,2367,2650,21,478,499,987,20014,21001
State Prison Total,1980,0,0,0,446,4534,4980,4351,74251,78602,0,0,0,268,4115,4383,69,1055,1124,148,1689,1837,1358,25377,26735,8777,145330,154107,182,2326,2508,55,629,684,1e3,19460,20460
State Prison Total,1981,0,0,0,517,4770,5287,4413,73426,77839,0,0,0,273,4100,4373,77,1279,1356,144,2274,2418,1585,28900,30485,9125,153412,162537,150,2013,2163,243,3148,3391,913,18845,19758
State Prison Total,1982,0,0,0,638,6931,7569,4827,76721,81548,0,0,0,377,5274,5651,63,873,936,157,2155,2312,2113,36212,38325,10378,163843,174221,186,2573,2759,51,480,531,1234,21350,22584
State Prison Total,1983,0,0,0,723,9165,9888,5544,86499,92043,0,0,0,392,4474,4866,98,1133,1231,317,5199,5516,2891,48506,51397,12958,197591,210549,233,2927,3160,73,932,1005,1865,28942,30807
State Prison Total,1984,0,0,0,730,8660,9390,5192,82808,88e3,0,0,0,374,4752,5126,162,1619,1781,96,880,976,3342,51626,54968,13121,192765,205886,257,2817,3074,69,971,1040,1979,29215,31194
State Prison Total,1985,0,0,0,621,8575,9196,5752,82317,88069,0,0,0,512,5540,6052,185,2166,2351,29,462,491,3824,59027,62851,14386,205839,220225,281,3893,4174,68,819,887,2211,32278,34489
State Prison Total,1986,0,0,0,802,9624,10426,6338,93327,99665,0,0,0,847,9765,10612,242,3036,3278,53,565,618,4690,67019,71709,16340,230907,247247,192,4393,4585,51,695,746,2045,32191,34236
State Prison Total,1987,0,0,0,1066,10858,11924,7851,102001,109852,0,0,0,1117,14216,15333,188,2319,2507,50,659,709,6153,78251,84404,20682,267545,288227,264,3842,4106,269,2339,2608,2944,40934,43878
State Prison Total,1988,0,0,0,1019,11392,12411,8649,112822,121471,0,0,0,1609,16358,17967,316,3216,3532,71,682,753,6240,86051,92291,23382,297423,320805,259,4714,4973,348,2771,3119,3620,46967,50587
State Prison Total,1989,0,0,0,1522,14587,16109,10274,124308,134582,0,0,0,2877,29404,32281,278,2739,3017,93,927,1020,7525,98694,106219,28665,338384,367049,233,5544,5777,96,617,713,4503,49010,53513
State Prison Total,1990,0,0,0,2121,18893,21014,12719,147012,159731,0,0,0,4505,37332,41837,476,3094,3570,206,1436,1642,8944,107913,116857,35110,384673,419783,328,5563,5891,73,312,385,4386,46902,51288
State Prison Total,1991,0,0,0,1884,18316,20200,14073,153414,167487,0,0,0,4311,35505,39816,1425,8293,9718,193,2015,2208,9972,116299,126271,37184,399807,436991,281,5102,5383,39,161,200,3743,41918,45661
State Prison Total,1992,0,0,0,2309,20787,23096,14854,155241,170095,0,0,0,4362,33342,37704,1203,8008,9211,235,968,1203,9660,117176,126836,38146,408959,447105,347,5854,6201,40,203,243,3949,45022,48971
State Prison Total,1993,0,0,0,2521,20573,23094,14032,148153,162185,0,0,0,3840,28851,32691,906,6043,6949,114,976,1090,10176,121885,132061,37523,399576,437099,278,4948,5226,58,206,264,4079,45543,49622
State Prison Total,1994,0,0,0,2388,19190,21578,13205,133178,146383,0,0,0,3173,28106,31279,392,4013,4405,66,735,801,12076,136914,148990,37752,397745,435497,281,4391,4672,49,232,281,4375,47789,52164
State Prison Total,1995,0,0,0,3065,23511,26576,15031,132108,147139,0,0,0,2019,17600,19619,417,3476,3893,60,618,678,15425,161977,177402,43957,425298,469255,225,3016,3241,11,106,117,5927,60090,66017
State Prison Total,1996,0,0,0,3387,25383,28770,13836,127972,141808,0,0,0,1817,16916,18733,591,4801,5392,76,663,739,15863,161458,177321,45287,434057,479344,205,2509,2714,27,125,152,7221,70971,78192
State Prison Total,1997,0,0,0,3804,27154,30958,13998,124096,138094,0,0,0,1906,18318,20224,614,4578,5192,95,657,752,18126,176229,194355,49249,451902,501151,213,2914,3127,8,89,97,7347,74966,82313
State Prison Total,1998,0,0,0,5103,31982,37085,14037,121101,135138,0,0,0,2185,19100,21285,569,4254,4823,95,702,797,19828,190566,210394,54278,477034,531312,421,4189,4610,43,190,233,9973,87118,97091
State Prison Total,1999,283,2256,2539,4039,30386,34425,13522,115186,128708,247,3064,3311,3719,28193,31912,503,3996,4499,60,613,673,21542,201800,223342,54145,496705,550850,129,1875,2004,27,90,117,8668,89550,98218
State Prison Total,2e3,199,1696,1895,4438,30274,34712,14547,121759,136306,314,2959,3273,3449,28745,32194,782,6065,6847,81,763,844,21238,200176,221414,61048,546125,607173,203,1968,2171,61,343,404,10679,101226,111905
State Prison Total,2001,211,1613,1824,6248,37809,44057,15028,130493,145521,280,2407,2687,1654,15873,17527,686,5042,5728,276,2819,3095,21292,207818,229110,59895,536981,596876,165,1944,2109,132,599,731,12162,111671,123833
State Prison Total,2002,244,1768,2012,7308,42378,49686,15263,131814,147077,240,1956,2196,2075,18108,20183,605,4609,5214,387,4113,4500,20380,203516,223896,60257,537524,597781,217,1742,1959,157,895,1052,11789,109334,121123
State Prison Total,2003,192,1943,2135,7044,50380,57424,14318,121010,135328,161,1808,1969,3439,28012,31451,730,8401,9131,610,4813,5423,19664,198301,217965,61684,556974,618658,191,1915,2106,104,622,726,11522,106007,117529
State Prison Total,2004,203,1908,2111,9470,52379,61849,14021,125514,139535,203,2061,2264,4043,32655,36698,519,4940,5459,199,1169,1368,23522,219123,242645,65678,567999,633677,381,3343,3724,74,345,419,11166,106103,117269
State Prison Total,2005,96,965,1061,8925,50855,59780,15031,129313,144344,233,1792,2025,4722,34663,39385,697,4558,5255,295,2168,2463,25362,226499,251861,71132,589078,660210,294,3526,3820,73,387,460,13416,114812,128228
State Prison Total,2006,108,937,1045,8199,43456,51655,16469,134151,150620,231,1778,2009,4475,29178,33653,332,2844,3176,318,2740,3058,26094,236182,262276,73267,591790,665057,269,2827,3096,61,516,577,15595,128623,144218
State Prison Total,2007,97,1176,1273,8715,44950,53665,17044,139263,156307,212,1561,1773,4149,28821,32970,1349,10073,11422,319,2510,2829,25886,235353,261239,74052,604318,678370,195,2734,2929,14,110,124,15026,126017,141043
State Prison Total,2008,41,755,796,8273,42581,50854,17222,138625,155847,224,1461,1685,5419,37423,42842,1457,10759,12216,226,2164,2390,24826,229756,254582,75588,612829,688417,263,2370,2633,62,474,536,16378,136198,152576
State Prison Total,2009,60,888,948,8649,45022,53671,17120,143521,160641,331,1566,1897,4982,33714,38696,1420,9870,11290,424,4436,4860,24108,226909,251017,73912,614189,688101,245,5982,6227,64,467,531,15917,134378,150295
State Prison Total,2010,50,686,736,9739,52726,62465,16167,140620,156787,314,1488,1802,4941,33411,38352,1421,9869,11290,390,4461,4851,21398,212578,233976,70309,591171,661480,239,2490,2729,63,453,516,14589,123654,138243
State Prison Total,2011,126,1043,1169,10305,53836,64141,16551,145050,161601,217,1799,2016,5287,34852,40139,388,2466,2854,259,2665,2924,17656,190495,208151,67703,573166,640869,257,1594,1851,17,271,288,15470,129827,145297
State Prison Total,2012,113,826,939,10489,52944,63433,18404,149409,167813,176,1423,1599,5125,34352,39477,416,3212,3628,335,3338,3673,11717,124491,136208,64965,521584,586549,583,2720,3303,11,84,95,16278,138095,154373
State Prison Total,2013,116,610,726,11217,54439,65656,19461,146857,166318,175,1128,1303,4649,27366,32015,371,2500,2871,370,3458,3828,12287,123148,135435,65240,509641,574881,416,3195,3611,16,182,198,12642,104467,117109
State Prison Total,2014,126,534,660,12063,55281,67344,18946,148681,167627,176,1117,1293,4637,26021,30658,387,2041,2428,341,3405,3746,13202,126662,139864,67507,519741,587248,406,3129,3535,19,89,108,14132,108054,122186
State Prison Total,2015,131,583,714,11943,55207,67150,20268,147562,167830,227,1336,1563,4669,24918,29587,409,2209,2618,352,3466,3818,13419,127250,140669,69952,516655,586607,336,3123,3459,11,102,113,14460,105746,120206
State Prison Total,2016,156,636,792,11951,54703,66654,21053,147200,168253,238,1300,1538,4865,25534,30399,390,2355,2745,423,4333,4756,15331,145810,161141,70543,507932,578475,1430,17613,19043,20,115,135,13965,101132,115097
