state,year,population,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
US Prison Total,2016,323127515,122,662,784,259,1328,1587,55770,363258,419028,1745,7439,9184,1312,12368,13680,5524,41962,47486,2080,26488,28568,8415,75319,83734,350,3970,4320,75773,534788,610561,197,1994,2191
US Prison Total,2016,1292510060,122,662,784,259,1328,1587,55770,363258,419028,1745,7439,9184,1312,12368,13680,5524,41962,47486,2080,26488,28568,8415,75319,83734,350,3970,4320,75773,534788,610561,197,1994,2191
US Prison Total,2016,1292510060,122,662,784,259,1328,1587,55770,363258,419028,1745,7439,9184,1312,12368,13680,5524,41962,47486,2080,26488,28568,8415,75319,83734,350,3970,4320,75773,534788,610561,197,1994,2191
US Prison Total,2015,321418821,119,642,761,213,1296,1509,54898,374176,429074,1061,4900,5961,1419,12643,14062,5110,37071,42181,1833,25181,27014,7832,73537,81369,352,4034,4386,74150,538802,612952,173,2191,2364
US Prison Total,2015,1285675284,119,642,761,213,1296,1509,54898,374176,429074,1061,4900,5961,1419,12643,14062,5110,37071,42181,1833,25181,27014,7832,73537,81369,352,4034,4386,74150,538802,612952,173,2191,2364
US Prison Total,2015,1285675284,119,642,761,213,1296,1509,54898,374176,429074,1061,4900,5961,1419,12643,14062,5110,37071,42181,1833,25181,27014,7832,73537,81369,352,4034,4386,74150,538802,612952,173,2191,2364
US Prison Total,2014,318857056,95,484,579,189,1253,1442,56609,392384,448993,1827,7629,9456,1547,13334,14881,4486,33840,38326,1703,26055,27758,7644,75616,83260,392,3578,3970,74570,556192,630762,227,2418,2645
US Prison Total,2014,1275428224,95,484,579,189,1253,1442,56609,392384,448993,1827,7629,9456,1547,13334,14881,4486,33840,38326,1703,26055,27758,7644,75616,83260,392,3578,3970,74570,556192,630762,227,2418,2645
US Prison Total,2014,1275428224,95,484,579,189,1253,1442,56609,392384,448993,1827,7629,9456,1547,13334,14881,4486,33840,38326,1703,26055,27758,7644,75616,83260,392,3578,3970,74570,556192,630762,227,2418,2645
US Prison Total,2013,316128839,77,462,539,161,1300,1461,56004,398815,454819,1706,10504,12210,978,10811,11789,4178,33880,38058,1911,28338,30249,6930,71117,78047,470,4320,4790,72567,561677,634244,152,2130,2282
US Prison Total,2013,1264515356,77,462,539,161,1300,1461,56004,398815,454819,1706,10504,12210,978,10811,11789,4178,33880,38058,1911,28338,30249,6930,71117,78047,470,4320,4790,72567,561677,634244,152,2130,2282
US Prison Total,2013,1264515356,77,462,539,161,1300,1461,56004,398815,454819,1706,10504,12210,978,10811,11789,4178,33880,38058,1911,28338,30249,6930,71117,78047,470,4320,4790,72567,561677,634244,152,2130,2282
US Prison Total,2012,313914040,86,648,734,175,1461,1636,52385,391829,444214,1489,7291,8780,995,11473,12468,3524,30097,33621,1891,29585,31476,6101,69058,75159,294,2430,2724,66865,546472,613337,218,2598,2816
US Prison Total,2012,1255656160,86,648,734,175,1461,1636,52385,391829,444214,1489,7291,8780,995,11473,12468,3524,30097,33621,1891,29585,31476,6101,69058,75159,294,2430,2724,66865,546472,613337,218,2598,2816
US Prison Total,2012,1255656160,86,648,734,175,1461,1636,52385,391829,444214,1489,7291,8780,995,11473,12468,3524,30097,33621,1891,29585,31476,6101,69058,75159,294,2430,2724,66865,546472,613337,218,2598,2816
US Prison Total,2011,311591919,38,578,616,179,1298,1477,52260,402266,454526,1351,7956,9307,1202,12425,13627,3556,30050,33606,2587,36437,39024,8931,110109,119040,244,2177,2421,70609,606184,676793,258,2900,3158
US Prison Total,2011,1246367676,38,578,616,179,1298,1477,52260,402266,454526,1351,7956,9307,1202,12425,13627,3556,30050,33606,2587,36437,39024,8931,110109,119040,244,2177,2421,70609,606184,676793,258,2900,3158
US Prison Total,2011,1246367676,38,578,616,179,1298,1477,52260,402266,454526,1351,7956,9307,1202,12425,13627,3556,30050,33606,2587,36437,39024,8931,110109,119040,244,2177,2421,70609,606184,676793,258,2900,3158
US Prison Total,2010,309349689,46,990,1036,131,1211,1342,53484,404876,458360,1098,7741,8839,1829,14613,16442,2898,27895,30793,3617,42737,46354,10523,127805,138328,407,4275,4682,74227,634696,708923,0,2540,2540
US Prison Total,2010,1237398756,46,990,1036,131,1211,1342,53484,404876,458360,1098,7741,8839,1829,14613,16442,2898,27895,30793,3617,42737,46354,10523,127805,138328,407,4275,4682,74227,634696,708923,0,2540,2540
US Prison Total,2010,1237398756,46,990,1036,131,1211,1342,53484,404876,458360,1098,7741,8839,1829,14613,16442,2898,27895,30793,3617,42737,46354,10523,127805,138328,407,4275,4682,74227,634696,708923,0,2540,2540
US Prison Total,2009,307006556,187,1831,2018,119,1045,1164,54022,420975,474997,803,5456,6259,1908,16404,18312,3272,29486,32758,3847,45213,49060,11933,130284,142217,438,4645,5083,77107,659689,736796,158,2009,2167
US Prison Total,2009,1228026224,187,1831,2018,119,1045,1164,54022,420975,474997,803,5456,6259,1908,16404,18312,3272,29486,32758,3847,45213,49060,11933,130284,142217,438,4645,5083,77107,659689,736796,158,2009,2167
US Prison Total,2009,1228026224,187,1831,2018,119,1045,1164,54022,420975,474997,803,5456,6259,1908,16404,18312,3272,29486,32758,3847,45213,49060,11933,130284,142217,438,4645,5083,77107,659689,736796,158,2009,2167
US Prison Total,2008,304059728,189,1664,1853,184,1227,1411,56052,421048,477100,779,5450,6229,2065,16549,18614,2943,26807,29750,4229,47623,51852,12960,139859,152819,285,1982,2267,80725,669667,750392,161,2104,2265
US Prison Total,2008,1216238912,189,1664,1853,184,1227,1411,56052,421048,477100,779,5450,6229,2065,16549,18614,2943,26807,29750,4229,47623,51852,12960,139859,152819,285,1982,2267,80725,669667,750392,161,2104,2265
US Prison Total,2008,1216238912,189,1664,1853,184,1227,1411,56052,421048,477100,779,5450,6229,2065,16549,18614,2943,26807,29750,4229,47623,51852,12960,139859,152819,285,1982,2267,80725,669667,750392,161,2104,2265
US Prison Total,2007,301621159,307,2994,3301,178,1470,1648,56403,423307,479710,956,7391,8347,2129,16818,18947,3359,28645,32004,4406,48508,52914,12528,136382,148910,196,1847,2043,81194,672950,754144,237,2811,3048
US Prison Total,2007,1206484636,307,2994,3301,178,1470,1648,56403,423307,479710,956,7391,8347,2129,16818,18947,3359,28645,32004,4406,48508,52914,12528,136382,148910,196,1847,2043,81194,672950,754144,237,2811,3048
US Prison Total,2007,1206484636,307,2994,3301,178,1470,1648,56403,423307,479710,956,7391,8347,2129,16818,18947,3359,28645,32004,4406,48508,52914,12528,136382,148910,196,1847,2043,81194,672950,754144,237,2811,3048
US Prison Total,2006,299398485,248,1885,2133,242,1830,2072,58770,433545,492315,870,6091,6961,1810,14283,16093,3407,37458,40865,4365,46937,51302,11757,126554,138311,90,1094,1184,81698,672498,754196,143,1633,1776
US Prison Total,2006,1197593940,248,1885,2133,242,1830,2072,58770,433545,492315,870,6091,6961,1810,14283,16093,3407,37458,40865,4365,46937,51302,11757,126554,138311,90,1094,1184,81698,672498,754196,143,1633,1776
US Prison Total,2006,1197593940,248,1885,2133,242,1830,2072,58770,433545,492315,870,6091,6961,1810,14283,16093,3407,37458,40865,4365,46937,51302,11757,126554,138311,90,1094,1184,81698,672498,754196,143,1633,1776
US Prison Total,2005,288398819,183,1867,2050,243,1924,2167,55827,414322,470149,1648,17162,18810,3666,36253,39919,8948,94423,103371,2378,26462,28840,5785,61645,67430,159,1463,1622,79313,661487,740800,201,3393,3594
US Prison Total,2005,1153595276,183,1867,2050,243,1924,2167,55827,414322,470149,1648,17162,18810,3666,36253,39919,8948,94423,103371,2378,26462,28840,5785,61645,67430,159,1463,1622,79313,661487,740800,201,3393,3594
US Prison Total,2005,1153595276,183,1867,2050,243,1924,2167,55827,414322,470149,1648,17162,18810,3666,36253,39919,8948,94423,103371,2378,26462,28840,5785,61645,67430,159,1463,1622,79313,661487,740800,201,3393,3594
US Prison Total,2004,285674993,202,1912,2114,191,2289,2480,51893,405203,457096,1621,11615,13236,3458,34683,38141,8160,93989,102149,2211,23872,26083,5132,54706,59838,55,468,523,73412,636166,709578,204,3161,3365
US Prison Total,2004,1142699972,202,1912,2114,191,2289,2480,51893,405203,457096,1621,11615,13236,3458,34683,38141,8160,93989,102149,2211,23872,26083,5132,54706,59838,55,468,523,73412,636166,709578,204,3161,3365
US Prison Total,2004,1142699972,202,1912,2114,191,2289,2480,51893,405203,457096,1621,11615,13236,3458,34683,38141,8160,93989,102149,2211,23872,26083,5132,54706,59838,55,468,523,73412,636166,709578,204,3161,3365
US Prison Total,2003,283051379,210,1775,1985,282,2384,2666,48281,397275,445556,3687,28708,32395,3329,35702,39031,11640,88862,100502,1571,18266,19837,3889,41803,45692,385,3073,3458,73447,624431,697878,173,6516,6689
US Prison Total,2003,1132205516,210,1775,1985,282,2384,2666,48281,397275,445556,3687,28708,32395,3329,35702,39031,11640,88862,100502,1571,18266,19837,3889,41803,45692,385,3073,3458,73447,624431,697878,173,6516,6689
US Prison Total,2003,1132205516,210,1775,1985,282,2384,2666,48281,397275,445556,3687,28708,32395,3329,35702,39031,11640,88862,100502,1571,18266,19837,3889,41803,45692,385,3073,3458,73447,624431,697878,173,6516,6689
US Prison Total,2002,280717370,239,1743,1982,329,2638,2967,47865,386094,433959,1232,11351,12583,1778,18418,20196,2687,30565,33252,2655,33365,36020,10608,113379,123987,44,535,579,67661,601077,668738,224,2979,3203
US Prison Total,2002,1122869480,239,1743,1982,329,2638,2967,47865,386094,433959,1232,11351,12583,1778,18418,20196,2687,30565,33252,2655,33365,36020,10608,113379,123987,44,535,579,67661,601077,668738,224,2979,3203
US Prison Total,2002,1122869480,239,1743,1982,329,2638,2967,47865,386094,433959,1232,11351,12583,1778,18418,20196,2687,30565,33252,2655,33365,36020,10608,113379,123987,44,535,579,67661,601077,668738,224,2979,3203
US Prison Total,2001,277075792,196,1448,1644,363,3065,3428,43535,361887,405422,1226,11707,12933,983,9182,10165,2444,30277,32721,2791,33603,36394,11880,128904,140784,50,509,559,63737,584460,648197,269,3878,4147
US Prison Total,2001,1108303168,196,1448,1644,363,3065,3428,43535,361887,405422,1226,11707,12933,983,9182,10165,2444,30277,32721,2791,33603,36394,11880,128904,140784,50,509,559,63737,584460,648197,269,3878,4147
US Prison Total,2001,1108303168,196,1448,1644,363,3065,3428,43535,361887,405422,1226,11707,12933,983,9182,10165,2444,30277,32721,2791,33603,36394,11880,128904,140784,50,509,559,63737,584460,648197,269,3878,4147
US Prison Total,2e3,281421906,170,1574,1744,426,3580,4006,41293,348441,389734,6445,50072,56517,2385,23888,26273,9025,95188,104213,1870,19788,21658,4674,50937,55611,46,482,528,66526,599551,666077,192,5601,5793
US Prison Total,2e3,1125687624,170,1574,1744,426,3580,4006,41293,348441,389734,6445,50072,56517,2385,23888,26273,9025,95188,104213,1870,19788,21658,4674,50937,55611,46,482,528,66526,599551,666077,192,5601,5793
US Prison Total,2e3,1125687624,170,1574,1744,426,3580,4006,41293,348441,389734,6445,50072,56517,2385,23888,26273,9025,95188,104213,1870,19788,21658,4674,50937,55611,46,482,528,66526,599551,666077,192,5601,5793
US Prison Total,1999,278090478.2,215,1796,2011,507,4196,4703,38925,336871,375796,2996,25270,28266,2824,28993,31817,8578,87444,96022,2575,25555,28130,3857,42337,46194,35,468,503,61806,564001,625807,389,3569,3958
US Prison Total,1999,1112361912.8,215,1796,2011,507,4196,4703,38925,336871,375796,2996,25270,28266,2824,28993,31817,8578,87444,96022,2575,25555,28130,3857,42337,46194,35,468,503,61806,564001,625807,389,3569,3958
US Prison Total,1999,1112361912.8,215,1796,2011,507,4196,4703,38925,336871,375796,2996,25270,28266,2824,28993,31817,8578,87444,96022,2575,25555,28130,3857,42337,46194,35,468,503,61806,564001,625807,389,3569,3958
US Prison Total,1998,274759050.4,0,0,0,0,0,0,40073,341573,381646,1225,10012,11237,2916,32536,35452,11045,98845,109890,2275,23999,26274,3093,35073,38166,93,752,845,61985,553241,615226,435,4106,4541
US Prison Total,1998,1099036201.6,0,0,0,0,0,0,40073,341573,381646,1225,10012,11237,2916,32536,35452,11045,98845,109890,2275,23999,26274,3093,35073,38166,93,752,845,61985,553241,615226,435,4106,4541
US Prison Total,1998,1099036201.6,0,0,0,0,0,0,40073,341573,381646,1225,10012,11237,2916,32536,35452,11045,98845,109890,2275,23999,26274,3093,35073,38166,93,752,845,61985,553241,615226,435,4106,4541
US Prison Total,1997,271427622.59999996,0,0,0,0,0,0,37152,327933,365085,2195,14311,16506,2564,30614,33178,8117,84370,92487,1885,24534,26419,2830,34851,37681,137,788,925,56053,528124,584177,247,2840,3087
US Prison Total,1997,1085710490.3999999,0,0,0,0,0,0,37152,327933,365085,2195,14311,16506,2564,30614,33178,8117,84370,92487,1885,24534,26419,2830,34851,37681,137,788,925,56053,528124,584177,247,2840,3087
US Prison Total,1997,1085710490.3999999,0,0,0,0,0,0,37152,327933,365085,2195,14311,16506,2564,30614,33178,8117,84370,92487,1885,24534,26419,2830,34851,37681,137,788,925,56053,528124,584177,247,2840,3087
US Prison Total,1996,268096194.79999998,0,0,0,0,0,0,35904,317989,353893,2053,10979,13032,2403,29979,32382,6904,72112,79016,1803,24180,25983,2843,35087,37930,60,567,627,53169,502823,555992,159,3168,3327
US Prison Total,1996,1072384779.1999999,0,0,0,0,0,0,35904,317989,353893,2053,10979,13032,2403,29979,32382,6904,72112,79016,1803,24180,25983,2843,35087,37930,60,567,627,53169,502823,555992,159,3168,3327
US Prison Total,1996,1072384779.1999999,0,0,0,0,0,0,35904,317989,353893,2053,10979,13032,2403,29979,32382,6904,72112,79016,1803,24180,25983,2843,35087,37930,60,567,627,53169,502823,555992,159,3168,3327
US Prison Total,1995,264764766.99999997,0,0,0,0,0,0,35061,326403,361464,769,7700,8469,2192,30538,32730,6124,68740,74864,2365,31635,34e3,2686,34361,37047,58,681,739,50408,512316,562724,122,2581,2703
US Prison Total,1995,1059059067.9999999,0,0,0,0,0,0,35061,326403,361464,769,7700,8469,2192,30538,32730,6124,68740,74864,2365,31635,34e3,2686,34361,37047,58,681,739,50408,512316,562724,122,2581,2703
US Prison Total,1995,1059059067.9999999,0,0,0,0,0,0,35061,326403,361464,769,7700,8469,2192,30538,32730,6124,68740,74864,2365,31635,34e3,2686,34361,37047,58,681,739,50408,512316,562724,122,2581,2703
US Prison Total,1994,261433339.2,0,0,0,0,0,0,31185,313850,345035,585,6208,6793,2048,29053,31101,5343,60845,66188,2551,36998,39549,2258,31878,34136,204,571,775,45470,495964,541434,270,4241,4511
US Prison Total,1994,1045733356.8,0,0,0,0,0,0,31185,313850,345035,585,6208,6793,2048,29053,31101,5343,60845,66188,2551,36998,39549,2258,31878,34136,204,571,775,45470,495964,541434,270,4241,4511
US Prison Total,1994,1045733356.8,0,0,0,0,0,0,31185,313850,345035,585,6208,6793,2048,29053,31101,5343,60845,66188,2551,36998,39549,2258,31878,34136,204,571,775,45470,495964,541434,270,4241,4511
US Prison Total,1993,258101911.39999998,0,0,0,0,0,0,31157,310565,341722,745,9503,10248,1851,28807,30658,4377,47638,52015,2294,32062,34356,2062,28621,30683,47,606,653,43784,474778,518562,271,5084,5355
US Prison Total,1993,1032407645.5999999,0,0,0,0,0,0,31157,310565,341722,745,9503,10248,1851,28807,30658,4377,47638,52015,2294,32062,34356,2062,28621,30683,47,606,653,43784,474778,518562,271,5084,5355
US Prison Total,1993,1032407645.5999999,0,0,0,0,0,0,31157,310565,341722,745,9503,10248,1851,28807,30658,4377,47638,52015,2294,32062,34356,2062,28621,30683,47,606,653,43784,474778,518562,271,5084,5355
US Prison Total,1992,254770483.6,0,0,0,0,0,0,29529,304772,334301,249,3111,3360,1595,26496,28091,3933,44416,48349,1986,34721,36707,1869,26945,28814,55,999,1054,40141,455615,495756,206,4843,5049
US Prison Total,1992,1019081934.4,0,0,0,0,0,0,29529,304772,334301,249,3111,3360,1595,26496,28091,3933,44416,48349,1986,34721,36707,1869,26945,28814,55,999,1054,40141,455615,495756,206,4843,5049
US Prison Total,1992,1019081934.4,0,0,0,0,0,0,29529,304772,334301,249,3111,3360,1595,26496,28091,3933,44416,48349,1986,34721,36707,1869,26945,28814,55,999,1054,40141,455615,495756,206,4843,5049
US Prison Total,1991,251439055.79999998,0,0,0,0,0,0,28829,288408,317237,460,5566,6026,1436,22744,24180,4472,50142,54614,2147,33852,35999,1757,25550,27307,98,824,922,39928,440118,480046,149,4026,4175
US Prison Total,1991,1005756223.1999999,0,0,0,0,0,0,28829,288408,317237,460,5566,6026,1436,22744,24180,4472,50142,54614,2147,33852,35999,1757,25550,27307,98,824,922,39928,440118,480046,149,4026,4175
US Prison Total,1991,1005756223.1999999,0,0,0,0,0,0,28829,288408,317237,460,5566,6026,1436,22744,24180,4472,50142,54614,2147,33852,35999,1757,25550,27307,98,824,922,39928,440118,480046,149,4026,4175
US Prison Total,1990,248107628,0,0,0,0,0,0,28192,294877,323069,382,2721,3103,1261,20253,21514,4131,49989,54120,1769,30438,32207,1341,24688,26029,37,660,697,37787,436341,474128,151,3914,4065
US Prison Total,1990,992430512,0,0,0,0,0,0,28192,294877,323069,382,2721,3103,1261,20253,21514,4131,49989,54120,1769,30438,32207,1341,24688,26029,37,660,697,37787,436341,474128,151,3914,4065
US Prison Total,1990,992430512,0,0,0,0,0,0,28192,294877,323069,382,2721,3103,1261,20253,21514,4131,49989,54120,1769,30438,32207,1341,24688,26029,37,660,697,37787,436341,474128,151,3914,4065
US Prison Total,1989,245983105.19999996,0,0,0,0,0,0,27824,288391,316215,585,7580,8165,1081,17403,18484,3513,46036,49549,1658,27812,29470,1335,23318,24653,56,796,852,36958,423840,460798,129,3579,3708
US Prison Total,1989,983932420.7999998,0,0,0,0,0,0,27824,288391,316215,585,7580,8165,1081,17403,18484,3513,46036,49549,1658,27812,29470,1335,23318,24653,56,796,852,36958,423840,460798,129,3579,3708
US Prison Total,1989,983932420.7999998,0,0,0,0,0,0,27824,288391,316215,585,7580,8165,1081,17403,18484,3513,46036,49549,1658,27812,29470,1335,23318,24653,56,796,852,36958,423840,460798,129,3579,3708
US Prison Total,1988,243858582.39999998,0,0,0,0,0,0,21182,240060,261242,308,1872,2180,903,15130,16033,2673,37061,39734,1117,20676,21793,1076,22718,23794,39,909,948,28203,351539,379742,157,3927,4084
US Prison Total,1988,975434329.5999999,0,0,0,0,0,0,21182,240060,261242,308,1872,2180,903,15130,16033,2673,37061,39734,1117,20676,21793,1076,22718,23794,39,909,948,28203,351539,379742,157,3927,4084
US Prison Total,1988,975434329.5999999,0,0,0,0,0,0,21182,240060,261242,308,1872,2180,903,15130,16033,2673,37061,39734,1117,20676,21793,1076,22718,23794,39,909,948,28203,351539,379742,157,3927,4084
US Prison Total,1987,241734059.59999996,0,0,0,0,0,0,18535,223352,241887,265,444,709,749,13811,14560,1993,29091,31084,786,16739,17525,906,18884,19790,63,610,673,24139,315623,339762,217,4131,4348
US Prison Total,1987,966936238.3999999,0,0,0,0,0,0,18535,223352,241887,265,444,709,749,13811,14560,1993,29091,31084,786,16739,17525,906,18884,19790,63,610,673,24139,315623,339762,217,4131,4348
US Prison Total,1987,966936238.3999999,0,0,0,0,0,0,18535,223352,241887,265,444,709,749,13811,14560,1993,29091,31084,786,16739,17525,906,18884,19790,63,610,673,24139,315623,339762,217,4131,4348
US Prison Total,1986,239609536.79999998,0,0,0,0,0,0,16240,203142,219382,12,518,530,765,13507,14272,1395,21591,22986,746,14681,15427,877,17622,18499,67,740,807,20917,283941,304858,214,4043,4257
US Prison Total,1986,958438147.1999999,0,0,0,0,0,0,16240,203142,219382,12,518,530,765,13507,14272,1395,21591,22986,746,14681,15427,877,17622,18499,67,740,807,20917,283941,304858,214,4043,4257
US Prison Total,1986,958438147.1999999,0,0,0,0,0,0,16240,203142,219382,12,518,530,765,13507,14272,1395,21591,22986,746,14681,15427,877,17622,18499,67,740,807,20917,283941,304858,214,4043,4257
US Prison Total,1985,237485013.99999997,0,0,0,0,0,0,13905,184594,198499,123,836,959,599,11541,12140,837,14088,14925,594,15221,15815,668,15146,15814,26,336,362,17545,253821,271366,267,4280,4547
US Prison Total,1985,949940055.9999999,0,0,0,0,0,0,13905,184594,198499,123,836,959,599,11541,12140,837,14088,14925,594,15221,15815,668,15146,15814,26,336,362,17545,253821,271366,267,4280,4547
US Prison Total,1985,949940055.9999999,0,0,0,0,0,0,13905,184594,198499,123,836,959,599,11541,12140,837,14088,14925,594,15221,15815,668,15146,15814,26,336,362,17545,253821,271366,267,4280,4547
US Prison Total,1984,235360491.2,0,0,0,0,0,0,12585,167833,180418,63,1452,1515,448,10210,10658,564,10039,10603,662,15762,16424,720,13602,14322,34,319,353,15923,230337,246260,292,3456,3748
US Prison Total,1984,941441964.8,0,0,0,0,0,0,12585,167833,180418,63,1452,1515,448,10210,10658,564,10039,10603,662,15762,16424,720,13602,14322,34,319,353,15923,230337,246260,292,3456,3748
US Prison Total,1984,941441964.8,0,0,0,0,0,0,12585,167833,180418,63,1452,1515,448,10210,10658,564,10039,10603,662,15762,16424,720,13602,14322,34,319,353,15923,230337,246260,292,3456,3748
US Prison Total,1983,233235968.39999998,0,0,0,0,0,0,12521,174887,187408,20,573,593,368,8870,9238,413,8026,8439,525,14001,14526,612,12753,13365,222,4134,4356,15425,234636,250061,258,3450,3708
US Prison Total,1983,932943873.5999999,0,0,0,0,0,0,12521,174887,187408,20,573,593,368,8870,9238,413,8026,8439,525,14001,14526,612,12753,13365,222,4134,4356,15425,234636,250061,258,3450,3708
US Prison Total,1983,932943873.5999999,0,0,0,0,0,0,12521,174887,187408,20,573,593,368,8870,9238,413,8026,8439,525,14001,14526,612,12753,13365,222,4134,4356,15425,234636,250061,258,3450,3708
US Prison Total,1982,231111445.6,0,0,0,0,0,0,11108,166001,177109,38,894,932,148,4509,4657,143,2984,3127,479,13699,14178,732,16309,17041,105,938,1043,13521,217313,230834,223,3176,3399
US Prison Total,1982,924445782.4,0,0,0,0,0,0,11108,166001,177109,38,894,932,148,4509,4657,143,2984,3127,479,13699,14178,732,16309,17041,105,938,1043,13521,217313,230834,223,3176,3399
US Prison Total,1982,924445782.4,0,0,0,0,0,0,11108,166001,177109,38,894,932,148,4509,4657,143,2984,3127,479,13699,14178,732,16309,17041,105,938,1043,13521,217313,230834,223,3176,3399
US Prison Total,1981,228986922.79999998,0,0,0,0,0,0,9531,150741,160272,78,3009,3087,151,3150,3301,168,5640,5808,430,11969,12399,569,13597,14166,85,825,910,11747,200517,212264,211,2935,3146
US Prison Total,1981,915947691.1999999,0,0,0,0,0,0,9531,150741,160272,78,3009,3087,151,3150,3301,168,5640,5808,430,11969,12399,569,13597,14166,85,825,910,11747,200517,212264,211,2935,3146
US Prison Total,1981,915947691.1999999,0,0,0,0,0,0,9531,150741,160272,78,3009,3087,151,3150,3301,168,5640,5808,430,11969,12399,569,13597,14166,85,825,910,11747,200517,212264,211,2935,3146
US Prison Total,1980,226862400,0,0,0,0,0,0,8101,134021,142122,24,640,664,89,2303,2392,85,2396,2481,369,10259,10628,470,12846,13316,15,266,281,9870,172747,182617,194,2539,2733
US Prison Total,1980,907449600,0,0,0,0,0,0,8101,134021,142122,24,640,664,89,2303,2392,85,2396,2481,369,10259,10628,470,12846,13316,15,266,281,9870,172747,182617,194,2539,2733
US Prison Total,1980,907449600,0,0,0,0,0,0,8101,134021,142122,24,640,664,89,2303,2392,85,2396,2481,369,10259,10628,470,12846,13316,15,266,281,9870,172747,182617,194,2539,2733
US Prison Total,1979,224480020,0,0,0,0,0,0,7739,123318,131057,536,3771,4307,61,1497,1558,75,1392,1467,330,9319,9649,449,12545,12994,11,237,248,10060,162693,172753,336,3102,3438
US Prison Total,1979,897920080,0,0,0,0,0,0,7739,123318,131057,536,3771,4307,61,1497,1558,75,1392,1467,330,9319,9649,449,12545,12994,11,237,248,10060,162693,172753,336,3102,3438
US Prison Total,1979,897920080,0,0,0,0,0,0,7739,123318,131057,536,3771,4307,61,1497,1558,75,1392,1467,330,9319,9649,449,12545,12994,11,237,248,10060,162693,172753,336,3102,3438
US Prison Total,1978,222097640,62,886,948,435,5965,6400,7445,118676,126121,83,1004,1087,48,1500,1548,59,1414,1473,331,8352,8683,524,11616,12140,54,933,987,9251,153323,162574,210,2977,3187
US Prison Total,1978,888390560,62,886,948,435,5965,6400,7445,118676,126121,83,1004,1087,48,1500,1548,59,1414,1473,331,8352,8683,524,11616,12140,54,933,987,9251,153323,162574,210,2977,3187
US Prison Total,1978,888390560,62,886,948,435,5965,6400,7445,118676,126121,83,1004,1087,48,1500,1548,59,1414,1473,331,8352,8683,524,11616,12140,54,933,987,9251,153323,162574,210,2977,3187
